Wavelength 	 Reflection 	 Transmisson 	 Absorption 
1.000000 	 3080636246.982791 	 2218967086.625734 	 -5299603332.608524 
1.030000 	 70420169125.685623 	 50791431555.233772 	 -121211600679.919403 
1.060000 	 2743167948.517905 	 1979445804.909049 	 -4722613752.426953 
1.090001 	 3345193049.918238 	 2411923447.564764 	 -5757116496.483002 
1.120001 	 526150072637.872009 	 379018604972.610291 	 -905168677609.482300 
1.149998 	 4871911505.247633 	 3515878674.206062 	 -8387790178.453695 
1.180001 	 4731063103.103695 	 3409557755.529066 	 -8140620857.632761 
1.209999 	 5119912500.141513 	 3694013018.266686 	 -8813925517.408199 
1.240002 	 15195874654.097729 	 10963069251.438532 	 -26158943904.536263 
1.270003 	 5237158552.175311 	 3780310629.143518 	 -9017469180.318829 
1.300001 	 7083757770.388323 	 5111036662.784987 	 -12194794432.173309 
1.329999 	 24333843694.553535 	 17557852619.369488 	 -41891696312.923019 
1.360001 	 5534810463.700170 	 3993229395.053642 	 -9528039857.753811 
1.390002 	 4500444312.820366 	 3248449566.011760 	 -7748893877.832127 
1.419997 	 59046756235.746834 	 42642624629.281891 	 -101689380864.028717 
1.449997 	 2266285328.757205 	 1637137305.052158 	 -3903422632.809363 
1.479998 	 11266315631.704441 	 8140758479.977903 	 -19407074110.682343 
1.510004 	 2112966124.594190 	 1526218912.338323 	 -3639185035.932513 
1.540002 	 3638447990.324146 	 2628892859.594440 	 -6267340848.918585 
1.569998 	 70439786553.338501 	 50878417897.146477 	 -121318204449.484985 
1.600000 	 1395898538.998675 	 1008612212.287848 	 -2404510750.286524 
1.630001 	 11899378841.951443 	 8599795085.564114 	 -20499173926.515556 
1.659999 	 39890162579.158119 	 28833893125.977299 	 -68724055704.135422 
1.689998 	 13437882750.876780 	 9714710654.190491 	 -23152593404.067268 
1.719996 	 3075485321.375302 	 2224724748.214160 	 -5300210068.589462 
1.749996 	 7209257049.740356 	 5212171817.227482 	 -12421428865.967838 
1.780003 	 6696391262.227523 	 4841851005.314536 	 -11538242266.542059 
1.809998 	 2999623805.536102 	 2170115996.757716 	 -5169739801.293818 
1.840005 	 1880219870.566494 	 1360274024.369982 	 -3240493893.936476 
1.869998 	 7215363779.806345 	 5221953897.865086 	 -12437317676.671431 
1.899997 	 14046542540.581068 	 10168626213.946569 	 -24215168753.527637 
1.930005 	 3002436836.003254 	 2173669073.694971 	 -5176105908.698225 
1.960003 	 4344694021.659719 	 3145322702.843023 	 -7490016723.502743 
1.989997 	 24856361896.900452 	 18003279098.738636 	 -42859640994.639084 
2.019998 	 8043049786.285888 	 5825710761.506208 	 -13868760546.792095 
2.050006 	 3686098584.877326 	 2670349908.882824 	 -6356448492.760151 
2.079997 	 3913129970.901491 	 2835579812.042800 	 -6748709781.944291 
2.110001 	 6143781891.481008 	 4453159931.382771 	 -10596941821.863779 
2.139999 	 1483912909.475796 	 1075656077.820272 	 -2559568986.296067 
2.169998 	 3470837228.647537 	 2516751769.979640 	 -5987588997.627176 
2.199994 	 10566929566.640953 	 7663868553.317283 	 -18230798118.958237 
2.230002 	 7092552425.104612 	 5144698897.143864 	 -12237251321.248476 
2.260006 	 6323605268.348223 	 4587405637.588011 	 -10911010904.936234 
2.290006 	 96790048603.720230 	 70241561562.302811 	 -167031610165.023041 
2.320006 	 13789076967.760141 	 10015723989.429289 	 -23804800956.189430 
2.349992 	 3665583904.957554 	 2659603758.233985 	 -6325187662.191539 
2.380008 	 26497506410.071884 	 19259228195.222767 	 -45756734604.294647 
2.410006 	 2632035733.467368 	 1909711004.789179 	 -4541746737.256548 
2.439996 	 21759936991.433830 	 15810297276.266989 	 -37570234266.700821 
2.470010 	 81085706971.657944 	 58993931284.209023 	 -140079638254.866974 
2.500000 	 29625738569.284950 	 21563817659.519226 	 -51189556227.804176 
2.530002 	 15013782045.270390 	 10929713257.254200 	 -25943495301.524590 
2.559989 	 2639196327.600867 	 1920562657.169684 	 -4559758983.770551 
2.590003 	 3191624583.281849 	 2319498370.614539 	 -5511122952.896389 
2.619996 	 10701326268.343693 	 7784504518.099438 	 -18485830785.443130 
2.649989 	 1944643102.645646 	 1416578300.556066 	 -3361221402.201712 
2.680007 	 1263632294.856431 	 919126125.248992 	 -2182758419.105423 
2.710003 	 38755555615.736618 	 28239806767.741600 	 -66995362382.478218 
2.740001 	 4779268667.993318 	 3481693553.084516 	 -8260962220.077833 
2.770006 	 73441146013.338013 	 53451219300.233139 	 -126892365312.571152 
2.799996 	 18140261517.290958 	 13220994205.991289 	 -31361255722.282249 
2.830002 	 113892915089.656754 	 83101984723.352341 	 -196994899812.009094 
2.860003 	 6868203556.882318 	 5012794308.324061 	 -11880997864.206379 
2.890006 	 7668929938.412680 	 5597902892.500384 	 -13266832829.913063 
2.919992 	 4987407849.759918 	 3641560298.871702 	 -8628968147.631620 
2.949998 	 45453367313.939255 	 33200792078.321495 	 -78654159391.260742 
2.980004 	 12954044044.873978 	 9462424348.550226 	 -22416468392.424202 
3.009999 	 3097617543.986747 	 2261337543.414723 	 -5358955086.401470 
3.040000 	 2707465243.418699 	 1976036668.650761 	 -4683501911.069460 
3.069999 	 487675071602.759399 	 356426819124.559387 	 -844101890726.318848 
3.100000 	 725894618.725738 	 530684049.661892 	 -1256578667.387630 
3.130001 	 5091858908.249228 	 3720023404.618491 	 -8811882311.867718 
3.160000 	 1621099248.222077 	 1186202358.854581 	 -2807301606.076658 
3.190000 	 6809419841.985796 	 4978077019.411688 	 -11787496860.397484 
3.220000 	 10028682411.068588 	 7341420054.621335 	 -17370102464.689922 
3.250000 	 4358349372.567963 	 3189289629.568878 	 -7547639001.136841 
3.280001 	 11919938792.389874 	 8725065765.991632 	 -20645004557.381508 
3.310002 	 2788496895.039947 	 2043143339.435229 	 -4831640233.475176 
3.339998 	 4280429223.366404 	 3136087992.751942 	 -7416517215.118345 
